Celltype	Marker	Corr_value
Trichoblast	AT3G54580	0.2861052241221429
Trichoblast	AT3G09925	0.2845070734540032
Trichoblast	AT1G30870	0.2794592700035424
Trichoblast	AT3G62680	0.2673948730042274
Trichoblast	AT1G12040	0.26173153274890115
Trichoblast	AT1G73580	0.261084355134026
Trichoblast	AT2G03720	0.26007146573318585
Trichoblast	AT4G34580	0.25963387480717115
Trichoblast	AT5G63270	0.2553325533217488
Trichoblast	AT2G47530	0.25386683423225426
Trichoblast	AT5G14330	0.2529484965866322
Trichoblast	AT5G19800	0.2521707170782105
Trichoblast	AT3G60280	0.2507731708610788
Trichoblast	AT2G45890	0.2490136191864752
Trichoblast	AT2G01540	0.2483737768295245
Trichoblast	AT5G57625	0.2482315685798166
Trichoblast	AT3G61560	0.24409258951203325
Trichoblast	AT4G25820	0.24338338570033585
Trichoblast	AT5G35190	0.2428316433217761
Trichoblast	AT5G24313	0.24025840658954398
Endodermis	AT3G55230	0.6376253020099389
Endodermis	AT3G24020	0.6266149787004928
Endodermis	AT2G40113	0.5995881695342165
Endodermis	AT5G65530	0.5761068741838832
Endodermis	AT3G52790	0.5251906008375187
Endodermis	AT3G53260	0.5196212115909605
Endodermis	AT1G28815	0.5049515281232534
Endodermis	AT4G21340	0.4918950051585729
Endodermis	AT1G61240	0.4903464231654169
Endodermis	AT5G15290	0.4885474274860064
Endodermis	AT1G72310	0.4868596397273421
Endodermis	AT3G24463	0.4850604092121293
Endodermis	AT1G47860	0.4716883119334898
Endodermis	AT4G24130	0.4715705832508582
Endodermis	AT5G47530	0.4629607874823365
Endodermis	AT3G22600	0.4496634527359082
Endodermis	AT5G10520	0.4435162783225238
Endodermis	AT4G34220	0.4337428648401072
Endodermis	AT2G22620	0.42624749918880817
Endodermis	AT1G70140	0.421843105709851
Cortext	AT1G21310	0.16468409049197036
Cortext	AT1G12090	0.13162516827041967
Cortext	AT1G13930	0.1224940957411408
Cortext	AT1G29025	0.12050451656475444
Cortext	AT5G13930	0.11725061561342907
Cortext	AT4G23400	0.11483285382391699
Cortext	AT5G57785	0.10747210535958199
Cortext	AT5G10770	0.1027153196628145
Cortext	AT3G23530	0.09137082957247128
Cortext	AT3G23510	0.08839539956120218
Cortext	AT5G24165	0.08564143521487072
Cortext	AT1G58360	0.08459364974402926
Cortext	AT5G15180	0.08309075638472056
Cortext	AT1G79040	0.08263248808248201
Cortext	AT5G01210	0.08240534571614005
Cortext	AT3G24420	0.08033749100127421
Cortext	AT4G20362	0.0800822238739213
Cortext	AT1G47480	0.07852211285500138
Cortext	AT4G00165	0.07543549506094219
Cortext	AT2G15370	0.07480177029384563
Meri.Xylem	AT5G02640	0.13402284204319315
Meri.Xylem	AT3G51030	0.12978959378184202
Meri.Xylem	AT4G32880	0.12222234022121875
Meri.Xylem	AT3G51670	0.12073141915801007
Meri.Xylem	AT1G68810	0.1193558817868432
Meri.Xylem	AT5G01890	0.11349356485694215
Meri.Xylem	AT4G24780	0.11268267684164612
Meri.Xylem	AT1G52150	0.11157420216197818
Meri.Xylem	AT2G13820	0.11090230046039236
Meri.Xylem	AT1G73780	0.107988804822309
Meri.Xylem	AT2G37190	0.107164214972547
Meri.Xylem	AT1G77690	0.1056782108052354
Meri.Xylem	AT5G60490	0.1051760292185074
Meri.Xylem	AT2G03090	0.10317056896299276
Meri.Xylem	AT5G20890	0.09936175700971338
Meri.Xylem	AT2G36160	0.0991746655454218
Meri.Xylem	AT5G48480	0.0974206291471378
Meri.Xylem	AT1G73590	0.09628463370898037
Meri.Xylem	AT4G25740	0.09624811553438904
Meri.Xylem	AT5G26360	0.09604470796376564
Atrichoblast	AT5G10130	0.3798596486789856
Atrichoblast	AT1G54010	0.3797651461956587
Atrichoblast	AT1G28290	0.37731155232649377
Atrichoblast	AT2G41800	0.35556332319684497
Atrichoblast	AT2G43610	0.35201223728765657
Atrichoblast	AT5G13870	0.3514798236407851
Atrichoblast	AT2G33790	0.3485468906565927
Atrichoblast	AT5G44417	0.34833533941769745
Atrichoblast	AT3G16410	0.3425790068426616
Atrichoblast	AT5G60520	0.335746772257479
Atrichoblast	AT5G35940	0.32638675334205536
Atrichoblast	AT3G14530	0.3258883509579665
Atrichoblast	AT4G15215	0.32423479155747514
Atrichoblast	AT1G36060	0.3234219874983831
Atrichoblast	AT2G17280	0.3229350666259978
Atrichoblast	AT2G25980	0.31623303952853904
Atrichoblast	AT3G04320	0.3147977249587832
Atrichoblast	AT5G23820	0.30182009558667355
Atrichoblast	AT2G04160	0.2994497397005985
Atrichoblast	AT5G62340	0.29943072749504224
QC	AT1G51220	0.13910009725023142
QC	AT2G28790	0.1344980238863525
QC	AT2G21050	0.13445738575269225
QC	AT1G35230	0.12712596148686306
QC	AT5G28490	0.1186541431818168
QC	AT4G38410	0.11631473724490295
QC	AT1G18250	0.1141929891663608
QC	AT1G56680	0.114171121689053
QC	AT2G46990	0.1124919815167564
QC	AT1G53887	0.10993687620340838
QC	AT5G16023	0.10709384387548608
QC	AT5G51550	0.10247773579521924
QC	AT2G35345	0.10142132903815476
QC	AT3G02245	0.0994796523991542
QC	AT1G49475	0.09154317568461916
QC	AT3G19500	0.09099817567042053
QC	AT3G29300	0.08626308867753116
QC	AT5G61740	0.08535608922080583
QC	AT4G06850	0.08479874333185981
QC	AT2G39700	0.08265506180968805
Protoxylem	AT4G18780	0.26755019356754944
Protoxylem	AT5G17420	0.2674229703692485
Protoxylem	AT4G35350	0.2673318086726724
Protoxylem	AT5G44030	0.2629604857044477
Protoxylem	AT3G27200	0.2571854024520397
Protoxylem	AT1G20850	0.25713008116819336
Protoxylem	AT2G28315	0.2536124215583901
Protoxylem	AT2G37090	0.2510938438277892
Protoxylem	AT3G21550	0.24766029558818906
Protoxylem	AT3G62020	0.2474973878532747
Protoxylem	AT5G15630	0.2423049369737861
Protoxylem	AT1G02640	0.2418419205899974
Protoxylem	AT5G60720	0.24175156951523816
Protoxylem	AT5G16490	0.24001495057879396
Protoxylem	AT1G58070	0.2390694949518421
Protoxylem	AT3G16920	0.2378666614139376
Protoxylem	AT2G27740	0.2313387937613785
Protoxylem	AT2G46760	0.22760846931327805
Protoxylem	AT5G60020	0.22744190611011506
Protoxylem	AT2G38080	0.22682304464475475
Phloem..CC.	AT1G75394	0.1383895956775572
Phloem..CC.	AT1G10380	0.10827116621242612
Phloem..CC.	AT5G04080	0.10799561180103352
Phloem..CC.	AT4G19840	0.10416095687880852
Phloem..CC.	AT5G26146	0.10287355550866832
Phloem..CC.	AT1G75820	0.09520297072649794
Phloem..CC.	AT1G23530	0.0930873832279882
Phloem..CC.	AT2G31550	0.09308368485770846
Phloem..CC.	AT5G06850	0.09280460155248962
Phloem..CC.	AT5G02600	0.0921847291554186
Phloem..CC.	AT4G27450	0.09005980045075948
Phloem..CC.	AT3G03505	0.08841220851635978
Phloem..CC.	AT5G64240	0.08803749715570111
Phloem..CC.	AT1G22710	0.08695594780628993
Phloem..CC.	AT5G20830	0.08520200582568521
Phloem..CC.	AT4G00670	0.08516105480784843
Phloem..CC.	AT5G02865	0.08127533588087561
Phloem..CC.	AT5G57350	0.0806015309162187
Phloem..CC.	AT5G27690	0.07944030072210011
Phloem..CC.	AT5G42146	0.0790125508275825
Protophloem	AT1G08160	0.2825826095139151
Protophloem	AT1G29520	0.2600432080190873
Protophloem	AT2G37590	0.238909965883262
Protophloem	AT2G18380	0.22111483110434774
Protophloem	AT5G02140	0.2112447059581852
Protophloem	AT1G11915	0.2101934974713084
Protophloem	AT3G01950	0.1829877617829477
Protophloem	AT5G60200	0.18207542327975176
Protophloem	AT4G29920	0.17887489716258695
Protophloem	AT1G69588	0.1748131332141124
Protophloem	AT1G06490	0.17457228614869294
Protophloem	AT3G01940	0.16798118565883566
Protophloem	AT5G11100	0.1671072146233898
Protophloem	AT5G18970	0.16196554320410533
Protophloem	AT4G05220	0.158894123409974
Protophloem	AT4G17905	0.15361681868455848
Protophloem	AT1G71050	0.1535720275536063
Protophloem	AT1G79430	0.14494542835297786
Protophloem	AT2G37925	0.14005118068987046
Protophloem	AT3G28455	0.1366667334436937
Columella	AT1G13620	0.13742022055608566
Columella	AT4G09415	0.13294456846556074
Columella	AT5G61470	0.12467491975938272
Columella	AT2G45740	0.11279067294723982
Columella	AT1G78520	0.10823527196876898
Columella	AT3G51750	0.10680483761667
Columella	AT1G17400	0.1043943132052903
Columella	AT4G15248	0.10255390024079132
Columella	AT1G50060	0.09855076938730407
Columella	AT4G27520	0.09640932235333084
Columella	AT1G18265	0.09639556230860716
Columella	AT5G67060	0.09636056950252787
Columella	AT3G14710	0.09100944598513856
Columella	AT3G18180	0.08971244488489316
Columella	AT2G35950	0.08624138030549751
Columella	AT5G62140	0.08219944275744671
Columella	AT2G04020	0.08163931167001569
Columella	AT3G52440	0.08139298694977956
Columella	AT3G45970	0.08028369898294177
Columella	AT2G05330	0.07847175380623299
